Designator,Mid X,Mid Y,Layer,Rotation
C1,30.80,10.16,Top,180.0
C2,41.27, 7.62,Top,180.0
C3,41.27,12.70,Top,180.0
C4,41.27,14.61,Top,180.0
C5,27.78, 4.60,Top,0.0
C6,27.78, 6.67,Top,0.0
C7,27.78,15.72,Top,0.0
C8,27.78,13.65,Top,0.0
C9,25.08,17.30,Top,90.0
C10,15.40,14.76,Top,180.0
C11,15.40, 9.37,Top,180.0
C12,18.65, 3.02,Top,270.0
C13,27.78,10.16,Top,180.0
C14,15.40,12.86,Top,180.0
C15,25.56, 3.02,Top,270.0
C16,15.40, 4.60,Top,180.0
C17,15.40, 6.83,Top,180.0
C18,17.62, 3.02,Top,270.0
C19,19.69, 3.02,Top,90.0
C20,24.53, 3.02,Top,270.0
C21,38.10,14.61,Top,270.0
C22,38.10, 8.26,Top,270.0
C23, 5.08,12.07,Top,270.0
C24, 5.08, 5.71,Top,270.0
CR1,22.11, 3.02,Top,0.0
D1,43.18,16.51,Top,180.0
D2,43.18, 3.81,Top,180.0
D3,38.10,11.75,Top,90.0
D4,38.10, 5.40,Top,90.0
D5, 5.08,14.92,Top,270.0
D6, 5.08, 8.57,Top,270.0
FL1,34.13,10.16,Top,0.0
FL2,27.78, 8.41,Top,180.0
FL3,27.78,11.91,Top,180.0
IC1,21.59,10.16,Top,180.0
IC2,20.32,17.62,Top,180.0
IC3,33.02,13.34,Top,0.0
IC4,33.02, 6.99,Top,0.0
IC5,10.16,13.34,Top,180.0
IC6,10.16, 6.99,Top,180.0
LED1,41.91,18.73,Top,180.0
LED2,41.91, 1.59,Top,180.0
R1,39.37,18.73,Top,180.0
R2,39.37, 1.59,Top,180.0
R3,40.64,16.51,Top,180.0
R4,40.64, 3.81,Top,180.0
R5,41.27, 5.71,Top,180.0
R6,16.67,17.30,Top,270.0
R7,17.78,17.30,Top,270.0
R8,23.97,17.30,Top,90.0
R9,22.86,17.30,Top,90.0
R10,30.48,16.51,Top,180.0
R11,33.02,16.51,Top,180.0
R12,35.56,16.51,Top,180.0
R13,35.24, 3.81,Top,0.0
R14,33.02, 3.81,Top,0.0
R15,30.80, 3.81,Top,0.0
R16,12.38,16.51,Top,0.0
R17,10.16,16.51,Top,0.0
R18, 7.94,16.51,Top,0.0
R19,12.38, 3.81,Top,0.0
R20,10.16, 3.81,Top,0.0
R21, 7.94, 3.81,Top,0.0
U1,41.27,10.16,Top,270.0
